Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2-13规模以上工业营业收入及增速,,,,,
,,,,,
Industrial Operating Receipt and Its Growth Rate Above Designated Size,,,,,
,,,,,
城 市,City,规模以上工业营业收入(万元) Industrial Operating Receipt Above Designated Size(10 000 yuan),,规模以上工业营业收入增速(%) Growth Rate of Industrial Operating Receipt Above Designated Size(%),
,,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City
北京市,Beijing,289506253,289506253,,
天津市,Tianjin,243543545,243543545,,
河北省,Hebei,,,,
  石家庄市,  Shijiazhuang,62334237,34436775,0.9,-0.9
  唐山市,  Tangshan,142344534,81221960,0.3,3.3
  秦皇岛市,  Qinhuangdao,26383576,17559263,2.0,1.2
  邯郸市,  Handan,63498365,24149534,0.7,-5.7
  邢台市,  Xingtai,34318470,12020720,0.5,-2.3
  保定市,  Baoding,46626648,26824410,6.4,12.1
  张家口市,  Zhangjiakou,16880609,9954867,20.3,27.5
  承德市,  Chengde,17736864,8127814,5.0,3.1
  沧州市,  Cangzhou,58378985,7633316,1.7,-4.6
  廊坊市,  Langfang,31991736,7660390,0.6,-2.3
  衡水市,  Hengshui,15354056,6873541,3.1,1.0
山西省,Shanxi,,,,
  太原市,  Taiyuan,54606339,43277745,-6.9,-5.3
  大同市,  Datong,21311188,17345776,-22.6,-26.3
  阳泉市,  Yangquan,8063087,4506927,-9.7,-12.3
  长治市,  Changzhi,43620341,19444332,-8.6,-9.9
  晋城市,  Jincheng,31401239,1526084,-1.9,-15.3
  朔州市,  Shuozhou,17800477,9464428,-10.5,-2.0
  晋中市,  Jinzhong,34439169,3926750,-9.2,-27.8
  运城市,  Yuncheng,32254709,1516015,-5.9,0.8
  忻州市,  Xinzhou,14667739,1284522,-9.8,11.5
  临汾市,  Linfen,30757055,2544032,-13.7,-18.2
  吕梁市,  Lvliang,45226505,2715832,-11.8,-25.9
内蒙古自治区,Inner Mongolia,,,,
  呼和浩特市,  Hohhot,34431125,10500749,10.2,-8.7
  包头市,  Baotou,50249733,43735285,-0.6,-2.9
  乌海市,  Wuhai,16026171,16026171,-18.3,-18.3
  赤峰市,  Chifeng,18815578,8555485,6.7,1.9
  通辽市,  Tongliao,16385908,2157566,1.1,5.2
  鄂尔多斯市,  Erdos,75173600,9448419,-7.9,-10.3
  呼伦贝尔市,  Hulunbuir,8133113,1585432,0.9,8.7
  巴彦淖尔市,  Bayannur,11982959,3504699,6.6,23.7
  乌兰察布市,  Ulanqab,15902461,1375833,4.4,4.3
辽宁省,Liaoning,,,,
  沈阳市,  Shenyang,,,,
  大连市,  Dalian,96915709,64646369,3.6,3.3
  鞍山市,  Anshan,28149593,18919356,-8.2,-11.9
  抚顺市,  Fushun,13473304,12977300,-3.8,-5.4
  本溪市,  Benxi,20288724,18952505,-9.0,-10.1
  丹东市,  Dandong,6616752,2592736,1.8,9.8
  锦州市,  Jinzhou,12236870,8162547,3.7,0.6
  营口市,  Yingkou,22739805,15430380,-4.3,-1.0
  阜新市,  Fuxin,4350183,2046670,-8.2,-1.7
  辽阳市,  Liaoyang,11147772,7381358,-10.1,-15.6
  盘锦市,  Panjin,30620000,26388000,-9.4,-5.4
  铁岭市,  Tieling,7937403,1288478,-1.7,0.9
  朝阳市,  Chaoyang,10129519,3049000,2.2,3.2
  葫芦岛市,  Huludao,10382064,7050707,-1.9,-3.7
吉林省,Jilin,,,,
  长春市,  Changchun,89888855,81561204,7.9,8.1
  吉林市,  Jilin,18807301,14480988,-3.9,-5.8
  四平市,  Siping,3815617,2235817,-1.0,-3.0
  辽源市,  Liaoyuan,3353729,1129836,6.4,-22.2
  通化市,  Tonghua,3768534,2356211,-4.1,-7.5
  白山市,  Baishan,2267366,1265058,-0.8,-8.3
  松原市,  Songyuan,6761112,4161473,-3.5,-3.4
  白城市,  Baicheng,3531700,1622446,10.4,5.9
黑龙江省,Heilongjiang,,,,
  哈尔滨市,  Harbin,29400736,23462086,-1.1,-2.4
  齐齐哈尔市,  Qiqihar,11526508,6612079,-6.1,-11.2
  鸡西市,  Jixi,4335933,2437301,-11.8,-19.1
  鹤岗市,  Hegang,2909480,2178366,-20.0,-24.1
  双鸭山市,  Shuangyashan,4934877,2887891,-3.1,-9.5
  大庆市,  Daqing,36148557,8336634,-8.5,-8.5
  伊春市,  Yichun,2259013,1493601,-1.6,-11.7
  佳木斯市,  Jiamusi,4710386,2034987,-10.7,4.5
  七台河市,  Qitaihe,3574042,3133803,-13.3,-14.5
  牡丹江市,  Mudanjiang,2480437,1398734,-0.9,2.8
  黑河市,  Heihe,2259297,510869,-2.8,-11.0
  绥化市,  Suihua,8694900,1366412,5.0,-1.5
上海市,Shanghai,458590014,458590014,1.1,1.1
江苏省,Jiangsu,,,,
  南京市,  Nanjing,158632860,158632860,-2.1,-2.1
  无锡市,  Wuxi,237170455,115370757,1.7,-0.7
  徐州市,  Xuzhou,65191706,36669812,1.7,
  常州市,  Changzhou,181085480,139425695,6.8,6.0
