Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2-20学生数（二）,,,,,
,,,,,
Number of students （ 口）,,,,,
,,,,,
单位：万人,,,,,
,,,,,
（10 000 persons）,,,,,
,,,,,
城 市,City,普通高中 Ordinary high school,,初中阶段 Junior Middle School Stage,
,,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City
北京市,Beijing,22,22,37,37
天津市,Tianjin,22,22,38,38
河北省,Hebei,,,,
  石家庄市,  Shijiazhuang,23,12,46,20
  唐山市,  Tangshan,15,6,26,11
  秦皇岛市,  Qinhuangdao,6,3,10,5
  邯郸市,  Handan,27,10,55,20
  邢台市,  Xingtai,18,6,36,10
  保定市,  Baoding,30,9,49,12
  张家口市,  Zhangjiakou,9,4,14,6
  承德市,  Chengde,8,2,14,2
  沧州市,  Cangzhou,18,2,38,4
  廊坊市,  Langfang,11,2,24,5
  衡水市,  Hengshui,19,9,22,7
山西省,Shanxi,,,,
  太原市,  Taiyuan,8,7,15,12
  大同市,  Datong,6,4,9,6
  阳泉市,  Yangquan,2,1,4,2
  长治市,  Changzhi,6,4,10,6
  晋城市,  Jincheng,4,1,5,2
  朔州市,  Shuozhou,5,2,7,3
  晋中市,  Jinzhong,7,2,12,4
  运城市,  Yuncheng,9,2,15,4
  忻州市,  Xinzhou,5,2,9,3
  临汾市,  Linfen,8,3,13,4
  吕梁市,  Lvliang,8,1,13,3
内蒙古自治区,Inner Mongolia,,,,
  呼和浩特市,  Hohhot,6,4,9,7
  包头市,  Baotou,4,4,7,6
  乌海市,  Wuhai,1,1,1,1
  赤峰市,  Chifeng,8,3,12,4
  通辽市,  Tongliao,6,1,8,2
  鄂尔多斯市,  Erdos,4,2,8,3
  呼伦贝尔市,  Hulunbuir,3,1,5,1
  巴彦淖尔市,  Bayannur,2,1,3,2
  乌兰察布市,  Ulanqab,3,0,4,1
辽宁省,Liaoning,,,,
  沈阳市,  Shenyang,12,,19,
  大连市,  Dalian,10,8,16,13
  鞍山市,  Anshan,4,2,7,3
  抚顺市,  Fushun,2,2,3,2
  本溪市,  Benxi,2,1,2,1
  丹东市,  Dandong,3,1,4,1
  锦州市,  Jinzhou,4,2,5,2
  营口市,  Yingkou,3,2,5,3
  阜新市,  Fuxi,3,1,4,1
  辽阳市,  Liaoyang,2,1,3,2
  盘锦市,  Panjin,2,2,4,3
  铁岭市,  Tieling,4,2,5,2
  朝阳市,  Chaoyang,6,2,8,2
  葫芦岛市,  Huludao,4,2,7,2
吉林省,Jilin,,,,
  长春市,  Changchun,16,8,23,13
  吉林市,  Jilin,6,3,8,4
  四平市,  Siping,3,1,5,1
  辽源市,  Liaoyuan,2,1,2,1
  通化市,  Tonghua,2,1,3,1
  白山市,  Baishan,2,1,2,1
  松原市,  Songyuan,5,2,7,2
  白城市,  Baicheng,3,1,4,1
黑龙江省,Heilongjiang,,,,
  哈尔滨市,  Harbin,16,10,25,18
  齐齐哈尔市,  Qiqihar,7,2,9,3
  鸡西市,  Jixi,3,0,3,1
  鹤岗市,  Hegang,1,1,2,1
  双鸭山市,  Shuangyashan,2,1,3,1
  大庆市,  Daqing,6,3,9,5
  伊春市,  Yichun,1,1,1,0
  佳木斯市,  Jiamusi,4,2,9,3
  七台河市,  Qitaihe,1,1,2,2
  牡丹江市,  Mudanjiang,4,1,5,2
  黑河市,  Heihe,2,1,3,0
  绥化市,  Suihua,7,1,12,2
上海市,Shanghai,21,21,57,57
江苏省,Jiangsu,,,,
  南京市,  Nanjing,11,11,21,21
  无锡市,  Wuxi,9,5,20,12
  徐州市,  Xuzhou,24,7,48,16
  常州市,  Changzhou,7,4,15,10
  苏州市,  Suzhou,15,6,36,19
  南通市,  Nantong,9,4,18,9
  连云港市,  Lianyungang,12,4,23,8
  淮安市,  Huai'an,11,6,17,11
  盐城市,  Yancheng,14,4,22,7
  扬州市,  Yangzhou,7,4,10,6
  镇江市,  Zhenjiang,4,2,8,3
  泰州市,  Taizhou,7,3,11,4
  宿迁市,  Suqian,13,3,28,8
浙江省,Zhejiang,,,,
  杭州市,  Hangzhou,14,13,29,26
  宁波市,  Ningbo,11,6,24,13
  温州市,  Wenzhou,14,4,30,8
  嘉兴市,  Jiaxing,6,2,13,4
  湖州市,  Huzhou,4,2,8,4
  绍兴市,  Shaoxing,8,4,13,7
  金华市,  Jinhua,10,2,20,4
  衢州市,  Quzhou,4,1,7,3
  舟山市,  Zhoushan,1,1,2,2
  台州市,  Taizhou,11,3,20,7
  丽水市,  Lishui,4,1,8,2
安徽省,Anhui,,,,
  合肥市,  Hefei,18,8,27,15
  芜湖市,  Wuhu,7,4,10,6
  蚌埠市,  Bengbu,7,2,16,5
  淮南市,  Huainan,6,3,12,5
  马鞍山市,  Ma'anshan,4,2,6,3
  淮北市,  Huaibei,4,2,8,4
  铜陵市,  Tongling,2,1,3,2
  安庆市,  Anqing,8,0,13,1
  黄山市,  Huangshan,2,1,3,1
  滁州市,  Chuzhou,7,1,12,3
  阜阳市,  Fuyang,19,5,41,11
  宿州市,  Suzhou,11,3,25,8
  六安市,  Lu'an,11,6,18,9
  亳州市,  Bozhou,12,3,26,8
  池州市,  Chizhou,3,1,4,2
  宣城市,  Xuancheng,4,1,7,2
福建省,Fujian,,,,
