Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
2-3工业颗粒物排放量和二氧化硫及氮氧化物排放量(全市),,,,
,,,,
"Industrial Particulate Emission, Industry Sulphur Dioxide Produced and Industry",,,,
Nitrogen Dioxide Emission(Total City),,,,
,,,,
单位：吨,,,,
,,,,
(ton),,,,
,,,,
城 市,City,工业颗粒物排放量 Volume of Industrial Particulate Emission,工业二氧化硫排放量 Volume of Sulphur Dioxide Emission,工业氮氧化物排放量 Volume of Nitrogen Dioxide Emission
北京市,Beijing,1633,896,9428
天津市,Tianjin,6080,6151,21156
河北省,Hebei,,,
  石家庄市,  Shijiazhuang,12224,11001,19083
  唐山市,  Tangshan,62121,53684,110494
  秦皇岛市,  Qinhuangdao,9351,5667,11975
  邯郸市,  Handan,18417,23714,40469
  邢台市,  Xingtai,5467,3518,8009
  保定市,  Baoding,5315,3318,7884
  张家口市,  Zhangjiakou,2412,4270,9137
  承德市,  Chengde,11659,9599,15291
  沧州市,  Cangzhou,6945,5945,12865
  廊坊市,  Langfang,1962,2550,4749
  衡水市,  Hengshui,697,1139,1850
山西省,Shanxi,,,
  太原市,  Taiyuan,15967,8671,18193
  大同市,  Datong,,,
  阳泉市,  Yangquan,1041,5689,7237
  长治市,  Changzhi,,,
  晋城市,  Jincheng,3663,3921,9130
  朔州市,  Shuozhou,21247,4564,10521
  晋中市,  Jinzhong,11421,10024,12769
  运城市,  Yuncheng,,,
  忻州市,  Xinzhou,33726,7593,11540
  临汾市,  Linfen,12596,7890,11900
  吕梁市,  Lvliang,,,
内蒙古自治区,Inner Mongolia,,,
  呼和浩特市,  Hohhot,7604,11535,17446
  包头市,  Baotou,17900,27200,38200
  乌海市,  Wuhai,16084,5884,13435
  赤峰市,  Chifeng,30481,10021,16093
  通辽市,  Tongliao,77969,23448,20185
  鄂尔多斯市,  Erdos,270194,24979,47981
  呼伦贝尔市,  Hulunbuir,133699,8124,14425
  巴彦淖尔市,  Bayannur,11631,7373,11066
  乌兰察布市,  Ulanqab,10464,9445,19985
辽宁省,Liaoning,,,
  沈阳市,  Shenyang,2514,6413,14926
  大连市,  Dalian,7599,9017,20429
  鞍山市,  Anshan,23511,11713,32287
  抚顺市,  Fushun,5358,3755,8500
  本溪市,  Benxi,16131,10191,23108
  丹东市,  Dandong,3030,1606,3286
  锦州市,  Jinzhou,2265,3297,5069
  营口市,  Yingkou,12067,13426,24363
  阜新市,  Fuxin,1286,2551,3249
  辽阳市,  Liaoyang,8798,2169,7086
  盘锦市,  Panjin,1256,1834,7781
  铁岭市,  Tieling,3113,2673,5446
  朝阳市,  Chaoyang,10759,5617,13639
  葫芦岛市,  Huludao,2603,3707,6540
吉林省,Jilin,,,
  长春市,  Changchun,6227,9301,20155
  吉林市,  Jilin,12172,8760,17366
  四平市,  Siping,4096,2504,7119
  辽源市,  Liaoyuan,2155,1427,5962
  通化市,  Tonghua,12798,5482,10135
  白山市,  Baishan,,,
  松原市,  Songyuan,4649,1824,3994
  白城市,  Baicheng,,,
黑龙江省,Heilongjiang,,,
  哈尔滨市,  Harbin,,,
  齐齐哈尔市,  Qiqihar,6437,5111,10161
  鸡西市,  Jixi,1055,4360,6148
  鹤岗市,  Hegang,9337,3746,3713
  双鸭山市,  Shuangyashan,6542,35665,79495
  大庆市,  Daqing,2481,3151,11840
  伊春市,  Yichun,489385,4827,7656
  佳木斯市,  Jiamusi,3500,2868,4554
  七台河市,  Qitaihe,1368,2142,6048
  牡丹江市,  Mudanjiang,4965,1692,4160
  黑河市,  Heihe,3314,1606,3002
  绥化市,  Suihua,2861,2659,4689
上海市,Shanghai,,,
江苏省,Jiangsu,,,
  南京市,  Nanjing,8680,5747,14588
  无锡市,  Wuxi,7706,5102,13247
  徐州市,  Xuzhou,6845,8569,15789
  常州市,  Changzhou,13821,4730,10626
  苏州市,  Suzhou,14483,19597,39502
  南通市,  Nantong,2752,3878,8623
  连云港市,  Lianyungang,2082,2877,6096
  淮安市,  Huai'an,1740,2039,5696
  盐城市,  Yancheng,4451,3601,7565
  扬州市,  Yangzhou,4200,3627,11369
  镇江市,  Zhenjiang,3010,2842,6573
  泰州市,  Taizhou,1959,2255,5665
  宿迁市,  Suqian,1479,1609,3031
浙江省,Zhejiang,,,
  杭州市,  Hangzhou,7037,2057,8254
  宁波市,  Ningbo,11418,7968,19902
  温州市,  Wenzhou,1388,3797,8101
  嘉兴市,  Jiaxing,6481,4074,12668
  湖州市,  Huzhou,6431,3754,7293
  绍兴市,  Shaoxing,2406,3752,9563
  金华市,  Jinhua,5259,2677,6918
  衢州市,  Quzhou,8194,3008,7820
  舟山市,  Zhoushan,1680,1654,8053
  台州市,  Taizhou,3479,3845,7861
  丽水市,  Lishui,1561,721,2001
安徽省,Anhui,,,
  合肥市,  Hefei,4952,3814,11626
  芜湖市,  Wuhu,11628,7956,19235
  蚌埠市,  Bengbu,1033,2070,4630
  淮南市,  Huainan,,,
  马鞍山市,  Ma'anshan,11542,8635,18216
  淮北市,  Huaibei,4577,5852,8268
  铜陵市,  Tongling,12370,2979,9219
  安庆市,  Anqing,3127,3064,6448
  黄山市,  Huangshan,728,465,513
  滁州市,  Chuzhou,,,
  阜阳市,  Fuyang,3431,6708,6670
  宿州市,  Suzhou,2437,3120,5243
  六安市,  Lu'an,4264,2975,5500
  亳州市,  Bozhou,1965,2577,2898
  池州市,  Chizhou,7666,6204,13034
  宣城市,  Xuancheng,,,
